file,ref,name
./data/work-in-progress/45_15/kasten_blau_45_15_0200.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0202.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0205.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0207.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0210.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0211.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0214.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0217.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0220.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0223.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0226.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0227.xml,#,o.O.
./data/work-in-progress/45_15/kasten_blau_45_15_0228.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0229.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0231.xml,#,o.O.
./data/work-in-progress/45_15/kasten_blau_45_15_0233.xml,#emt_place_id__63,Wiener Neustadt
./data/work-in-progress/45_15/kasten_blau_45_15_0235.xml,#,o.O.
./data/work-in-progress/45_15/kasten_blau_45_15_0236.xml,#emt_place_id__48,Pressburg
./data/work-in-progress/45_15/kasten_blau_45_15_0237.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0239.xml,#,Preßburg
./data/work-in-progress/45_15/kasten_blau_45_15_0241.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0244.xml,#,Preßburg
./data/work-in-progress/45_15/kasten_blau_45_15_0246.xml,#,Preßburg
./data/work-in-progress/45_15/kasten_blau_45_15_0247.xml,#,Preßburg
./data/work-in-progress/45_15/kasten_blau_45_15_0250.xml,#,Preßburg
./data/work-in-progress/45_15/kasten_blau_45_15_0254.xml,#,Preßburg
./data/work-in-progress/45_15/kasten_blau_45_15_0257.xml,#,Preßburg
./data/work-in-progress/45_15/kasten_blau_45_15_0260.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0263.xml,#,Preßburg
./data/work-in-progress/45_15/kasten_blau_45_15_0266.xml,#,Preßburg
./data/work-in-progress/45_15/kasten_blau_45_15_0267.xml,#,Preßburg
./data/work-in-progress/45_15/kasten_blau_45_15_0269.xml,#,Preßburg
./data/work-in-progress/45_15/kasten_blau_45_15_0271.xml,#,Preßburg
./data/work-in-progress/45_15/kasten_blau_45_15_0274.xml,#,Preßburg
./data/work-in-progress/45_15/kasten_blau_45_15_0275.xml,#,Preßburg
./data/work-in-progress/45_15/kasten_blau_45_15_0276.xml,#,Preßburg
./data/work-in-progress/45_15/kasten_blau_45_15_0277.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0278.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0282.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0286.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0287.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0290.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0293.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0294.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0298.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0301.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0303.xml,#emt_place_id__63,Wien
